Tissue,BroadID,Release,PMID,Organism,Platform,PlatformDescription,PlatformAccesionID,DataAccessionID,SigID,SigName,SigDescription,Comment,Keywords,URL,FileAssociated,GenesBroad,GenesArticle,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,,
Colon,,R3,11108479,Human,affy_HuGeneFL,high density oligonucleotide microarrays. The expression levels of 7 129 genes are reported. The data  72 samples over 7 129 genes,,,11108479-SuppTable1,Ben-Dor00_93genes_Colon,SuppTable1. Colon Data Set,,,,11108479-SuppTable1.txt,,93,GenBank ID,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leukemia,,R3,11108479,Human,affy_HuGeneFL,high density oligonucleotide microarrays. The expression levels of 7 129 genes are reported. The data  72 samples over 7 129 genes,,,11108479-SuppTable2,Ben-Dor00_143genes_Leukemia,SuppTable2. Leukemia data set,,,,11108479-SuppTable2.txt,,143,GenBank ID,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung not cancer,,R3,11114790,Rat,Custom cDNA Array,Customized gene blot array on a GeneScreen plus membrane (NEN-Dupont  Boston),,,11114790-Table1,Nadadur00_30genes_Lung_not_cancer,Table 1. Details on genes used in the array blot,,,http://web.ebscohost.com.ezp-prod1.hul.harvard.edu/ehost/pdfviewer/pdfviewer?vid=2&hid=111&sid=1968f592-e723-4069-b2c1-559653d3beda%40sessionmgr111,11114790-Table1.txt,,30,Gene Symbol,Gene Symbol,GenBank ID,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,11134302,Human,Custom cDNA Array,,,,11134302-SuppTable2,Jenner01_105genes_Lymphoma,SuppTable 2. Raw Data with Mean Centered Log Expression Ratios,,,http://www.biochem.ucl.ac.uk/bsm/virus_database/array/data.html,11134302-SuppTable2.txt,,105,Gene Description,Gene Symbol,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,,R3,11156382,Human,Clontech_Atlas_13K,Atlas Human Cancer 1.2 Arrays,,,11156382-Table4,Huang00_11genes_Brain,Table 4. Genes repressed in low-grade astrocytomas detected by cDNA array,*T  tumor; N  nontumorous brain tissue. ~Percentage of cases with less than 50% of mRNA level compared to that of control. ^EGF  epidermal growth factor; MAPK  mitogen-activated protein kinase; MEK  mitogen-activated protein/extracellular signal-regulated kinase; PKC  protein kinase C.,,http://cancerres.aacrjournals.org/content/60/24/6868/T4.expansion.html,11156382-Table4.txt,,11,Chromosome Map,Gene Description,Gene Symbol,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,
Brain,,R3,11156382,Human,Clontech_Atlas_13K,Atlas Human Cancer 1.2 Arrays,,,11156382-Table2,Huang00_6genes_Brain,Table 2. Genes detected only in low-grade astrocytomas by cDNA array,*+++  >20000; ++  10000?20000; +  <10000. ~Percentage of cases with detectable level of mRNA.,,http://cancerres.aacrjournals.org/content/60/24/6868/T2.expansion.html,11156382-Table2.txt,,6,Chromosome Map,Gene Description,Gene Symbol,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,
Brain,,R3,11156382,Human,Clontech_Atlas_13K,Atlas Human Cancer 1.2 Arrays,,,11156382-Table3,Huang00_7genes_Brain,Table 3. Genes overexpressed in low-grade astrocytomas detected by cDNA array,*T  tumor; N  nontumorous brain tissue. ~Percentage of cases with >2-fold increase in mRNA expression.,,http://cancerres.aacrjournals.org/content/60/24/6868/T3.expansion.html,11156382-Table3.txt,,7,Chromosome Map,Gene Description,Gene Symbol,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,
Breast,,R1,11165872,Human,Clontech_Atlas_13K,Atlas Human Cancer cDNA Expression Array,,,11165872-Table2,Li01_11genes_down_MCF7_MnSOD_Breast,Table 2. Down-regulated Genes In MCF-7 Cells Overexpressing MnSOD,Results represent the average of two separate microarray hybridizations and values less than 2-fold are not shown.  **No signal was detected in the MnSOD transfectants.,,http://www.sciencedirect.com.ezp-prod1.hul.harvard.edu/science?_ob=MImg&_imagekey=B6T38-429XW2M-5-7&_cdi=4940&_user=209690&_orig=search&_coverDate=02%2F01%2F2001&_sk=999699996&view=c&wchp=dGLbVlb-zSkWA&md5=7b114bb49639d20e0291cb5c91cae8bd&ie=/sdarticle.pd,11165872-Table2.txt,,11,GenBank ID,Gene Description,Geneset Specific Factor,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Breast,,R1,11165872,Human,Clontech_Atlas_13K,Atlas Human Cancer cDNA Expression Array,,,11165872-Table1,Li01_5genes_up_MCF7_MnSOD_Breast,Table 1. Up-regulated Genes In MCF-7 Cells Overexpressing MnSOD,Results represent the average of two separate microarray hybridizations and values less than 2-fold are not shown.,,http://www.sciencedirect.com.ezp-prod1.hul.harvard.edu/science?_ob=MImg&_imagekey=B6T38-429XW2M-5-7&_cdi=4940&_user=209690&_orig=search&_coverDate=02%2F01%2F2001&_sk=999699996&view=c&wchp=dGLbVlb-zSkWA&md5=7b114bb49639d20e0291cb5c91cae8bd&ie=/sdarticle.pd,11165872-Table1.txt,,5,GenBank ID,Gene Description,Geneset Specific Factor,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Breast,1860,R1,11207349,Human,Custom cDNA Array,custom cDNA array  6512 cDNA (Unigene build 110),,,11207349-Supp2,Hedenfalk01_176genes_BRCA_Breast,Consensus list of 176 genes discriminating BRCA1 and BRCA2 breast tumors,Sorted by Gene Dendrogram Order ,BRCA,http://research.nhgri.nih.gov/microarray/NEJM_Supplement/Images/Genelist176.pdf,11207349-Supp2.txt,140,176,Clone ID,UniGene ID,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,
Breast,1455,R1,11207349,Human,Custom cDNA Array,custom cDNA array  6512 cDNA (Unigene build 110),,,11207349-Supp1,Hedenfalk01_51genes_BRCA_Breast,List of 51 genes discriminating BRCA1  BRCA2  and sporadic breast tumors,Sorted by Gene Dendrogram Order ,BRCA,http://research.nhgri.nih.gov/microarray/NEJM_Supplement/Images/GeneList51.pdf,11207349-Supp1.txt,42,51,Clone ID,UniGene ID,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,
Liver,,R3,11230749,Human,Custom cDNA Array,cDNA microarrays used in this study were made in collaboration with Hitachi Software Engineering Co.  Ltd.  (Yokohama  Japan) using the robotic arraying machine  SPBIO2000,,,11230749-Table1,Kawai01_18genes_Liver,Table 1. Genes Differentially Expressed in 3 AFP-Producing Cell Lines,,,http://pubget.com/search?q=11230749,11230749-Table1.txt,,18,Gene Description,UniGene ID,Geneset Specific Factor,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Factor,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,
Liver,not done,R3,11230749,Human,Custom cDNA Array,cDNA microarrays used in this study were made in collaboration with Hitachi Software Engineering Co.  Ltd.  (Yokohama  Japan) using the robotic arraying machine  SPBIO2000,,,11230749-Figure6,Kawai01_254genes_Liver,Figure 6. Clustered display of gene-expression profile data of each of the 4 subsets of genes that shared a common expression profile among 5 AFP-producing hepatoma cell lines.,(A) apoptosis (B) cell cycle (C) cell-cell interaction (D) oncogene.Magnified image at right provides the information of genes that either had a characteristic expression profile among the 5 AFP-producing hepatoma cells or 2 particular AFP-producing cells.,,http://pubget.com/search?q=11230749,11230749-Figure6.txt,,254,Gene Description,UniGene ID,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viral,,R3,11237719,Human,affy_HuGeneFL,Affymetrix GeneChip HuGeneFL Array (Affymetrix  Inc.  CA),,,11237719-Table1b,Huang01_15genes_Viral,TABLE 1 Summary of Genes Upregulated by Induction of HCV NS Proteins (Hepatitis C Virus  Nonstructural proteins),"Genes upregulated in the 10th day after removal of Dox; Table 1 shows the genes whose mRNA level was increased most efficiently (fold change ^ 2) at day 5 and at day 10  respectively  after removal of Dox from the medium. Note. Genes whose average difference (a.v.) of expression .100 are shown and listed in order of inducing fold. Data are presented as fold
changes calculated according to the a.v. of the genes before and after induction.",,,11237719-Table1b.txt,,15,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Viral,,R3,11237719,Human,affy_HuGeneFL,Affymetrix GeneChip HuGeneFL Array (Affymetrix  Inc.  CA),,,11237719-Table1a,Huang01_9genes_Viral,TABLE 1 Summary of Genes Upregulated by Induction of HCV NS Proteins (Hepatitis C Virus  Nonstructural proteins),"Genes upregulated in the 5th day after removal of Dox; Table 1 shows the genes whose mRNA level was increased most efficiently (fold change ^ 2) at day 5 and at day 10  respectively  after removal of Dox from the medium. Note. Genes whose average difference (a.v.) of expression .100 are shown and listed in order of inducing fold. Data are presented as fold
changes calculated according to the a.v. of the genes before and after induction.",,,11237719-Table1a.txt,,9,Gene Description,GenBank ID,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Lung not cancer,,R3,11282888,Human,affy_HuGeneFL,Affymetrix GeneChip HuFl arrays,,,11282888-Table2,Geraci01_18genes_Lung_not_cancer,"Table 2. Concordant Expression of Sporadic PPH and FPPH
Versus Normal Lung Tissue",,,http://circres.ahajournals.org/cgi/reprint/88/6/555?maxtoshow=&hits=10&RESULTFORMAT=&fulltext=Gene+Expression+Patterns+in+the+Lungs+of+Patients+With+Primary+Pulmonary&searchid=1&FIRSTINDEX=0&resourcetype=HWCIT,11282888-Table2.txt,,18,GenBank ID,Geneset Specific Factor,Geneset Specific Statistics,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,
Lung not cancer,,R3,11282888,Human,affy_HuGeneFL,Affymetrix GeneChip HuFl arrays,,,11282888-SuppTable4,Geraci01_20genes_Lung_not_cancer,Supplemental Table 4: Genes Demonstrating Systematic Concordant Increases (n=18) or Decreases (n=2) when tRNA is Compared to mRNA,,,http://circres.ahajournals.org/cgi/data/88/6/555/DC1/1,11282888-SuppTable4.txt,,20,Probe ID,Geneset Specific Factor,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung not cancer,,R3,11282888,Human,affy_HuGeneFL,Affymetrix GeneChip HuFl arrays,,,11282888-Table3,Geraci01_25genes_Lung_not_cancer,Table 3. Sporadic PPH and FPPH lung tissue gene expression when compared with normal lung tissue,,,http://circres.ahajournals.org/cgi/reprint/88/6/555?maxtoshow=&hits=10&RESULTFORMAT=&fulltext=Gene+Expression+Patterns+in+the+Lungs+of+Patients+With+Primary+Pulmonary&searchid=1&FIRSTINDEX=0&resourcetype=HWCIT,11282888-Table3.txt,,25,Geneset Specific Factor,Gene Description,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung not cancer,,R3,11282888,Human,affy_HuGeneFL,Affymetrix GeneChip HuFl arrays,,,11282888-SuppTable2,Geraci01_39genes_Lung_not_cancer,SuppTable 2: Genes Differentially Regulated between Sporadic PPH and Familial PPH,,,http://circres.ahajournals.org/cgi/data/88/6/555/DC1/1,11282888-SuppTable2.txt,,39,GenBank ID,Gene Description,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung not cancer,,R3,11282888,Human,affy_HuGeneFL,Affymetrix GeneChip HuFl arrays,,,11282888-SuppTable3,Geraci01_4genes_Lung_not_cancer,SuppTable 3: Comparison of Vasoregulatory Genes Previously Shown to be Altered in PPH compared to the Present GeneChip Analysis,,,http://circres.ahajournals.org/cgi/data/88/6/555/DC1/1,11282888-SuppTable3.txt,,4,Gene Symbol,GenBank ID,Geneset Specific Factor,Geneset Specific Factor,Geneset Specific Factor,Geneset Specific Factor,Geneset Specific Factor,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,
Head and Neck Cancer,,R3,11289099,Human,Clontech_Atlas_13K,Atlas human cancer 1.2 cDNA array ,,,11289099-Table1,Shrieve01_22genes_HeadandNeck,Table 1 The selected radiation-resistant genes from the Atlas human cancer 1.2 array analysis,,,,11289099-Table1.txt,,22,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Gene Symbol,Gene Description,,,,,,,,,,,,,,,,,,,,,,
Head and Neck Cancer,,R3,11289099,Human,Clontech_Atlas_13K,Atlas human cancer 1.2 cDNA array ,,,11289099-Table2,Shrieve01_37genes_HeadandNeck,Table 2 The selected radiation-sensitive genes from the Atlas human cancer 1.2 array analysis,,,,11289099-Table2.txt,,37,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Gene Symbol,Gene Description,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,11298116,Human,Custom cDNA Array,microarray filter contained 467 kinds of cDNA  each with a length of about 500 base pairs  derived from independent  nonhomologous mRNA species,,,11298116-Table1,Murakami01_20genes_Lymphoma,Table 1. Differential gene expression profile. Values are relative to that of Beta-actin and mean values for two independent assays are presented., +refers to an RNA sample derived from an area of skin tumour infiltration; ? refers to an internal noninfiltrated skin control. TIMP  Tissue inhibitor of metalloproteinasse; TCR  T-cell receptor; MCP  monocyte chemoattractant protein; IL-2R  interleukin-2 receptor; IP-10  interferon-inducible protein-10; CD  cluster of differentiation; FLIP  FLICE inhibitory protein; HLA  human leukocyte antigen; PCN  proliferating cell nuclear antigen; HSP  heat shock protein; CCR7  C-C chemokine receptor 7.,,,11298116-Table1.txt,,20,Geneset Specific Statistics,Gene Symbol,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
Lymphoma,,R3,11298554,Human,Custom cDNA Array,cDNA microarray filter containing 406 types of cDNA fragments of different lengths  that were derived from independent  non-homologous mRNA species (purchased from Clontech  Palo Alto  CA  U.S.A.),,,11298554-Table1,Murakami02_22genes_Lymphoma,Table 1. Differential gene expression profile,Values are indicated relative to that of b-actin  and mean values of two independent assays are presented. SLC  secondary lymphoid tissue chemokine; MIP  macrophage inflammatory protein; TCR  T-cell receptor; IL  interleukin; CCR  CC chemokine receptor; IFN  interferon; FLIP  FLICE inhibitory protein; PTP  protein tyrosine phosphatase; BLC  B-lymphocyte chemokine; VCAM  vascular cell adhesion molecule; LT  lymphotoxin; TNF  tumour necrosis factor; MDC  macrophage-derived chemokine.,,,11298554-Table1.txt,,22,Gene Symbol,Gene Description,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Endometrial,,R1,11325847,Human,Custom cDNA Array,,,,11325847-Table3,Matsushima-Nishiu01_69genes_Endometrial,Table 3 Genes of down-regulated by PTEN transfer,a Fold change represents a ratio of signal intensity (Cy3/Cy5). b Signal intensity is smaller than cut-off value. c GenBank accession no.,,,11325847-Table3.txt,,69,GenBank ID,UniGene ID,Gene Symbol,Gene Description,Geneset Specific Factor,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,
Endometrial,,R1,11325847,Human,Custom cDNA Array,,,,11325847-Table2,Matsushima-Nishiu01_97genes_Endometrial,Table 2 Genes of up-regulated by PTEN transfer,a Fold change represents a ratio of signal intensity (Cy3/Cy5). b Signal intensity is smaller than cut-off value. c GenBank accession no.,,,11325847-Table2.txt,,97,GenBank ID,UniGene ID,GenBank ID,Gene Symbol,Gene Description,Geneset Specific Factor,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,
Prostate,,R1,11375906,Rat,Custom cDNA Array,Atlas Rat cDNA Expression Array,,,11375906-table1,Ouyang01_17genes_Prostate,Table 1. Representative list of differentially expressed genes and their involvement in prostate and/or other cancers,*Fold change represents genes differentially overexpressed (positive numbers) or underexpressed (negative numbers) in carcinoma relative to normal lateral prostate.,,http://carcin.oxfordjournals.org/cgi/content/full/22/6/965/T1,11375906-table1.txt,,17,GenBank ID,Gene Description,Geneset Specific Statistics,Gene Description,,,,,,,,,,,,,,,,,,,,,,,,,
Prostate,,R3,11406539,Rat,Custom cDNA Array,Atlas Rat 1.2 Array (Clontech),,,11406539-table4,Asamoto01_10genes_Prostate,Table 4 List of genes with expression changed .2-fold in the ventral prostate carcinoma of the transgenic rat compared with normal ventral prostate of a wild-type littermate,,,,11406539-table4.txt,,10,Geneset Specific Factor,Gene Symbol,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Colon,,R1,11423116,Human,Clontech_Atlas_13K,ATLAS cDNA expression array (Clontech),,,11423116-Table1,DellaRagione01_21genes_Colon,Table 1. Human genes induced by BuA and TSA,HT-29 cells were treated for 5 h with or without 2 mM sodium BuA or 0.3 WM TSA  in the presence of 36 WM cycloheximide. Total RNA was isolated  retrotranscribed  32P-labelled and hybridized to the cDNA array representing 588 transcripts for known genes. The signals were then analyzed by NIH Image 1.61 software and expressed as fold of increase with respect to the untreated cells. Data are means of three different experiments.,,,11423116-Table1.txt,,21,GenBank ID,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,
Lung,,R1,11423996,Mouse,Affy mg u74a,Mouse Genome U74A array,,,11423996-table1,Kannan01_91genes_Lung,Table 1 Classification of p53 up-regulated genes in LTR6 cells,*Indicates genes that are induced only in Mouse LTR6 and not in human H1299 cells  although they are present in both human and Mouse DNA chips,,,11423996-table1.txt,,91,GenBank ID,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,Geneset Specific Statistics,GenBank ID,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,
Lung,not done,R1,11423996,Mouse,Affy mg u74a,Mouse Genome U74A array,,,,Kannan01_genes_Lung,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune,not done,R3,11432721,Human,Custom Oligo Array,high density oligonucleotide microarrays representing more than 6800 known human genes and expressed sequence tags,,,11432721-Table3,Ellisen_01_160genes_Immune,Table 3. Functional classification of genes induced or repressed following T cell activation.*,"*The 150 genes and ESTs with the highest absolute and fold change compared with time zero (see Materials and methods) are listed by functional
category and by cluster. Repressed genes are shown in italics.  **Cluster assignment. Numbers in parentheses indicate maximum fold change.  ***Baseline expression level of these genes was undetectable  precluding assessment of fold induction.",,http://pubget.com/search?q=11432721#,11432721-Table3.txt,,160,Geneset Specific Statistics,Gene Symbol,Geneset Specific Factor,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidney,not done,R3,11493696,Human,Custom cDNA Array,21 632 cDNA microarrays,,,11493696-TableS2,Takahashi01_32genes_Kidney,Table 2. Commonly up-regulated genes in clear cell renal cell carcinoma (RCC),Thirty-two genes or expressed sequence tags (ESTs) that are at least 3-fold up-regulated in at least 75% of RCC (n = 29). Average fold reflect average ratios of all nonflagged spots. Percentage of RCC is the fraction of tumors that had at least 2-fold up-regulation.,,http://www.pnas.org/content/suppl/2001/08/07/171209998.DC1/2099Table2.pdf,11493696-TableS2.txt,,32,GenBank ID,Gene Description,Geneset Specific Statistics,Geneset Specific Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
