Tags,Type,DB Ref,Code,
(“renal tumor” OR “renal cancer” OR “renal tumour” OR “renal carcinoma” OR “liver tumor” OR “liver cancer” OR “liver tumour” OR “liver carcinoma” OR “renal cell carcinoma tumor” OR “renal cell carcinoma cancer” OR “renal cell carcinoma tumour” OR “renal cell carcinoma carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“stem cell tumor” OR “stem cell cancer” OR “stem cell tumour” OR “stem cell carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“ovary tumor” OR “ovary cancer” OR “ovary tumour” OR “ovary carcinoma” OR “ovarian tumor” OR “ovarian cancer” OR “ovarian tumour” OR “ovarian carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“astrocytoma tumor” OR “astrocytoma cancer” OR “astrocytoma tumour” OR “astrocytoma carcinoma” OR “Astrocytoma tumor” OR “Astrocytoma cancer” OR “Astrocytoma tumour” OR “Astrocytoma carcinoma” OR “brain tumor” OR “brain cancer” OR “brain tumour” OR “brain carcinoma” OR “Brain Stem tumor” OR “Brain Stem cancer” OR “Brain Stem tumour” OR “Brain Stem carcinoma” OR “central nervous system tumor” OR “central nervous system cancer” OR “central nervous system tumour” OR “central nervous system carcinoma” OR “Cerebellar tumor” OR “Cerebellar cancer” OR “Cerebellar tumour” OR “Cerebellar carcinoma” OR “Cerebroventricular tumor” OR “Cerebroventricular cancer” OR “Cerebroventricular tumour” OR “Cerebroventricular carcinoma” OR “Choroid Plexus tumor” OR “Choroid Plexus cancer” OR “Choroid Plexus tumour” OR “Choroid Plexus carcinoma” OR “choroid plexus papillomas tumor” OR “choroid plexus papillomas cancer” OR “choroid plexus papillomas tumour” OR “choroid plexus papillomas carcinoma” OR “CNS tumor” OR “CNS cancer” OR “CNS tumour” OR “CNS carcinoma” OR “Ependymoma tumor” OR “Ependymoma cancer” OR “Ependymoma tumour” OR “Ependymoma carcinoma” OR “glioblastoma tumor” OR “glioblastoma cancer” OR “glioblastoma tumour” OR “glioblastoma carcinoma” OR “glioblastoma tumor” OR “glioblastoma cancer” OR “glioblastoma tumour” OR “glioblastoma carcinoma” OR “glioblastoma multiform tumor” OR “glioblastoma multiform cancer” OR “glioblastoma multiform tumour” OR “glioblastoma multiform carcinoma” OR “glioma tumor” OR “glioma cancer” OR “glioma tumour” OR “glioma carcinoma” OR “Infiltrative astrocytoma tumor” OR “Infiltrative astrocytoma cancer” OR “Infiltrative astrocytoma tumour” OR “Infiltrative astrocytoma carcinoma” OR “intracranial tumor” OR “intracranial cancer” OR “intracranial tumour” OR “intracranial carcinoma” OR “medulloblastoma tumor” OR “medulloblastoma cancer” OR “medulloblastoma tumour” OR “medulloblastoma carcinoma” OR “meningioma tumor” OR “meningioma cancer” OR “meningioma tumour” OR “meningioma carcinoma” OR “Meningioma tumor” OR “Meningioma cancer” OR “Meningioma tumour” OR “Meningioma carcinoma” OR “Neuroblastoma tumor” OR “Neuroblastoma cancer” OR “Neuroblastoma tumour” OR “Neuroblastoma carcinoma” OR “Neurocytomas tumor” OR “Neurocytomas cancer” OR “Neurocytomas tumour” OR “Neurocytomas carcinoma” OR “Neuroepithelial tumor” OR “Neuroepithelial cancer” OR “Neuroepithelial tumour” OR “Neuroepithelial carcinoma” OR “oligodendroglioma tumor” OR “oligodendroglioma cancer” OR “oligodendroglioma tumour” OR “oligodendroglioma carcinoma” OR “pituitary adenoma tumor” OR “pituitary adenoma cancer” OR “pituitary adenoma tumour” OR “pituitary adenoma carcinoma” OR “primitive neuroectodermal tumor” OR “primitive neuroectodermal cancer” OR “primitive neuroectodermal tumour” OR “primitive neuroectodermal carcinoma” OR “Retinoblastoma tumor” OR “Retinoblastoma cancer” OR “Retinoblastoma tumour” OR “Retinoblastoma carcinoma” OR “vestibular schwannoma tumor” OR “vestibular schwannoma cancer” OR “vestibular schwannoma tumour” OR “vestibular schwannoma carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(“melanoma tumor” OR “melanoma cancer” OR “melanoma tumour” OR “melanoma carcinoma” OR “skin tumor” OR “skin cancer” OR “skin tumour” OR “skin carcinoma”) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(Lymphoma OR multiple myleoma OR plasmocytoma) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
(leukaemia OR leukemia) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt],Pubmed Query,NA,NA,
"(EBV OR ""Epstein-Barr Virus"") AND (tumor OR cancer OR tumour OR carcinoma OR oncogene) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt]",Pubmed Query,NA,NA,
"(SV40 OR ""Simian Virus 40"") AND (tumor OR cancer OR tumour OR carcinoma OR oncogene) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt]",Pubmed Query,NA,NA,
"(HPV OR ""Human Papillomavirus"") AND (tumor OR cancer OR tumour OR carcinoma OR oncogene) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt]",Pubmed Query,NA,NA,
"(""Hepatitis B"") AND (tumor OR cancer OR tumour OR carcinoma OR oncogene) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt]",Pubmed Query,NA,NA,
"(HTLV 1 OR ""Human T-lymphotropic virus 1"") AND (tumor OR cancer OR tumour OR carcinoma OR oncogene) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt]",Pubmed Query,NA,NA,
"(HCV OR ""hepatitis C"") AND (tumor OR cancer OR tumour OR carcinoma OR oncogene) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt]",Pubmed Query,NA,NA,
"(KSHV OR ""Kaposi sarcoma-associated Herpesvirus"") AND (tumor OR cancer OR tumour OR carcinoma OR oncogene) AND (“genechip” OR microarray OR “gene expression”) AND (“gene signature” OR “genelist” OR “expression profile” OR “Classifier” OR  “Predictor”) AND English [la]  NOT Review [pt]",Pubmed Query,NA,NA,
epithelium,Manual Entry,NA,NA,
gastric cancer,Manual Entry,NA,NA,
poor prognosis,Manual Entry,NA,NA,
good prognosis,Manual Entry,NA,NA,
overexpression,Manual Entry,NA,NA,
underexpression,Manual Entry,NA,NA,
high grade tumor,Manual Entry,NA,NA,
low grade tumor,Manual Entry,NA,NA,
upregulated,Manual Entry,NA,NA,
downregulated,Manual Entry,NA,NA,
HNSCC,Manual Entry,NA,NA,
HPV,Manual Entry,NA,NA,
tamoxifen,Manual Entry,NA,NA,
HUVECs,Manual Entry,NA,NA,
TCGA,Manual Entry,NA,NA,
,,,,
,,,,
,,,,
,,,,
,MESH,Mesh,CO290… (some code),
